,scientific_name,local_names.common,local_names.indonesian,altitude_min,altitude_max,temperature_min,temperature_max,rainfall_min,rainfall_max,ph_min,ph_max,chalky,clay,loamy,peat,rocky,sandy,silt,volcanic
52,Carica papaya,Papaya,Pepaya,0,1500,21,33,1000,2000,5.5,7.0,0,0,1,0,0,1,0,0
53,Caryota urens,Toddy Palm,Aren,0,1500,18,32,1500,3000,5.5,7.5,0,0,1,0,0,1,0,0
54,Cassia grandis,Pink Shower,Johar Merah,0,1200,20,35,800,2500,6.0,7.5,0,0,1,0,0,1,0,0
55,Cassia javanica,Apple Blossom Shower,Trengguli Wanggang,0,1500,18,34,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
56,Casuarina equisetifolia,Coastal She-oak,Cemara Laut,0,1000,10,35,500,4000,5.0,8.5,0,0,1,0,0,1,0,0
57,Casuarina junghuhniana,Mountain Ru,Cemara Gunung,500,2500,10,28,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
58,Casuarina oligodon,Hairy She-oak,Kilu,0,2000,15,30,1500,4000,5.5,7.0,0,0,1,0,0,1,0,0
59,Cedrela odorata,Spanish Cedar,Cedrela,0,1800,18,32,1200,3000,5.5,7.5,0,0,1,0,0,1,0,0
60,Cedrela serrata,Hill Toon,Surian Gunung,500,2000,15,28,1500,3500,5.5,7.0,0,0,1,0,0,1,0,0
61,Ceiba pentandra,Kapok,Randu,0,1000,20,38,800,2500,5.0,7.5,0,0,1,0,0,1,0,0
62,Ceratonia siliqua,Carob,Carob,0,1000,10,35,500,1000,6.0,8.5,0,0,1,0,0,1,0,0
63,Chrysophyllum cainito,Star Apple,Sawo Duren,0,1000,20,35,1200,4000,5.5,7.5,0,0,1,0,0,1,0,0
64,Chukrasia tabularis,Chickrassy,Suren,0,1500,18,38,1000,5000,5.0,7.5,0,0,1,0,0,1,0,0
65,Cinchona pubescens,Quinine Tree,Kina,800,3000,10,25,1500,3500,4.5,6.5,0,0,1,0,0,1,0,0
66,Cinnamomum verum,Cinnamon,Kayu Manis,0,1000,20,30,2000,4000,5.0,7.0,0,0,1,0,0,1,0,0
67,Citrus bergamia,Bergamot Orange,Jeruk Bergamot,0,800,15,30,1000,2500,5.5,7.0,0,0,1,0,0,1,0,0
68,Citrus maxima,Pomelo,Jeruk Bali,0,400,20,35,1500,3000,5.5,7.5,0,0,1,0,0,1,0,0
69,Citrus sinensis,Sweet Orange,Jeruk Manis,0,1500,13,38,1000,2500,6.0,7.5,0,0,1,0,0,1,0,0
70,Cocos nucifera,Coconut,Kelapa,0,600,20,32,1000,3000,5.0,8.0,0,0,1,0,0,1,0,0
71,Coffea arabica,Arabica Coffee,Kopi Arabika,800,2000,15,24,1500,2500,5.0,6.5,0,0,1,0,0,0,0,1
72,Cordia alliodora,Spanish Elm,Kayu Putih,0,1500,18,34,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
73,Crotalaria juncea,Sunn Hemp,Orok-orok,0,1500,20,35,600,2500,5.0,8.5,0,0,1,0,0,1,0,0
74,Crotalaria micans,Rattlepod,Orok-orik,0,1000,18,32,800,2000,5.5,7.5,0,0,1,0,0,1,0,0
75,Cryptomeria japonica,Japanese Cedar,Sugi,500,2500,10,25,1000,3000,5.0,6.5,0,0,1,0,0,1,0,0
76,Cyphomandra betacea,Tree Tomato,Terong Belanda,500,2500,15,25,1500,3000,5.5,7.0,0,0,1,0,0,1,0,0
77,Dalbergia latifolia,Indian Rosewood,Sonokeling,0,1200,20,35,1000,2500,6.0,7.5,0,0,1,0,0,1,0,0
78,Dalbergia sissoo,Sissoo,Jati Belanda,0,1500,10,40,500,2000,6.5,8.5,0,0,1,0,0,1,0,0
79,Derris elliptica,Tuba Root,Akar Tuba,0,800,22,32,1500,4000,5.0,7.0,0,0,1,0,0,0,1,0
80,Derris microphylla,Small-leaf Derris,Tuba Kecil,0,500,24,34,2000,4000,5.5,7.0,0,0,1,0,0,0,1,0
81,Derris robusta,Robust Derris,Tuba Besar,0,1000,20,32,1500,3500,5.0,7.0,0,0,1,0,0,0,1,0
82,Derris trifoliata,Three-leaf Derris,Tuba Tiga Daun,0,300,24,35,2000,5000,5.5,7.5,0,0,1,0,0,0,1,0
83,Dichrostachys cinerea,Sicklebush,Aroma,0,2000,10,38,200,4000,5.0,8.5,0,1,1,0,0,1,0,0
84,Diospyros ebenum,Ebony,Kayu Hitam,0,1000,20,35,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
85,Diospyros kaki,Persimmon,Kesemek,0,1500,15,30,800,2000,6.0,7.5,0,0,1,0,0,1,0,0
86,Dipterocarpus alatus,Resin Tree,Keruing,0,800,22,32,1500,4000,5.0,6.5,0,1,1,0,0,0,0,0
87,Dipterocarpus grandiflorus,Apitong,Keruing Gajah,0,1000,20,35,2000,5000,4.5,6.5,0,0,1,0,0,1,0,0
88,Dracontomelon dao,New Guinea Walnut,Dao,0,1200,20,34,1500,3500,5.5,7.0,0,0,1,0,0,1,0,0
89,Durio zibethinus,Durian,Durian,0,800,24,32,1500,3000,5.0,6.5,0,0,1,0,0,1,0,0
90,Elaeis guineensis,African Oil Palm,Kelapa Sawit,0,500,24,30,1500,4000,4.0,7.0,0,1,1,0,0,0,0,0
91,Emblica officinalis,Indian Gooseberry,Malaka,0,1800,10,40,500,2000,6.0,8.0,0,0,1,0,0,1,0,0
92,Endospermum malaccense,Sesendok,Sesendok,0,1000,22,34,1500,4000,5.0,7.0,0,0,1,0,0,1,0,0
93,Eriobotrya japonica,Loquat,Lokat,0,1500,-5,35,800,2000,6.0,7.5,0,0,1,0,0,1,0,0
94,Erythrina fusca,Purple Coraltree,Dadap Merah,0,800,18,38,1000,4000,5.0,8.0,0,1,1,0,0,0,0,0
95,Erythrina poeppigiana,Mountain Immortelle,Dadap Besar,0,2000,15,35,1500,3500,5.5,7.5,0,0,1,0,0,1,0,0
96,Erythrina variegata,Indian Coral Tree,Dadap Laut,0,1500,10,40,800,3000,5.0,8.5,0,0,1,0,0,1,0,0
97,Eucalyptus camaldulensis,River Red Gum,Eukaliptus Merah,0,1200,-5,45,250,1500,4.5,8.0,0,1,1,0,0,0,0,0
98,Eucalyptus deglupta,Rainbow Eucalyptus,Eukaliptus Pelangi,0,1800,18,32,1500,5000,5.0,7.5,0,0,1,0,0,0,0,1
99,Eucalyptus maculata,Spotted Gum,Eukaliptus Tutul,0,1000,-3,38,600,1600,5.0,7.0,0,0,1,0,0,1,0,0
100,Eucalyptus pellita,Large-fruited Red Mahogany,Eukaliptus Merah Besar,0,800,15,35,1000,3000,5.0,6.5,0,0,1,0,0,1,0,0
101,Eucalyptus tereticornis,Forest Red Gum,Eukaliptus Merah Hutan,0,1500,-5,40,500,2000,5.0,8.0,0,1,1,0,0,0,0,0
