,scientific_name,local_names.common,local_names.indonesian,altitude_min,altitude_max,temperature_min,temperature_max,rainfall_min,rainfall_max,ph_min,ph_max,chalky,clay,loamy,peat,rocky,sandy,silt,volcanic
208,Syzygium samarangense,Wax Apple,Jambu Air,0,500,24,35,1500,3000,5.5,7.0,0,0,1,0,0,1,0,0
209,Tamarindus indica,Tamarind,Asam Jawa,0,1500,15,40,500,2500,4.5,9.0,0,0,1,0,0,1,0,0
210,Tectona grandis,Teak,Jati,0,1200,18,43,800,2500,6.0,8.0,0,0,1,0,0,1,0,0
211,Tephrosia candida,White Tephrosia,Tefrosia Putih,0,2000,15,35,800,2500,5.0,7.5,0,0,1,0,0,1,0,0
212,Tephrosia purpurea,Wild Indigo,Tefrosia Ungu,0,1500,18,38,500,2000,5.5,8.0,0,0,0,0,1,1,0,0
213,Tephrosia villosa,Hairy Tephrosia,Tefrosia Berbulu,0,1000,20,35,600,1800,5.0,7.0,0,0,1,0,0,1,0,0
214,Tephrosia vogelii,Fish Poison Bean,Tefrosia Vogel,0,2000,15,35,800,2500,5.0,7.5,0,0,1,0,0,1,0,0
215,Terminalia alata,Indian Laurel,Ketapang India,0,1500,15,40,800,3000,5.5,8.0,0,0,1,0,0,1,0,0
216,Terminalia arjuna,Arjuna,Pohon Arjuna,0,1200,20,45,500,1500,6.0,8.5,0,0,1,0,0,1,0,0
217,Terminalia bellirica,Beleric,Kepuh,0,1000,18,38,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
218,Terminalia catappa,Indian Almond,Ketapang,0,800,20,35,1000,3500,5.0,8.0,0,0,1,0,0,1,0,0
219,Terminalia superba,Limba,Ketapang Besar,0,1000,20,35,1200,2500,5.5,7.0,0,0,1,0,0,1,0,0
220,Theobroma cacao,Cocoa Tree,Kakao,0,900,18,32,1250,3000,6.0,7.5,0,0,1,0,0,0,0,1
221,Thespesia populnea,Portia Tree,Baru Laut,0,275,20,35,500,1600,6.0,7.4,0,0,1,0,0,1,0,0
222,Tithonia diversifolia,Mexican Sunflower,Tanaman Pagar,0,2000,15,35,800,2500,5.0,7.5,0,0,1,0,0,1,0,0
223,Toona ciliata,Red Cedar,Suren,0,1800,10,35,1000,3500,5.5,7.0,0,0,1,0,0,1,0,0
224,Toona sureni,Suren Toona,Suren Jawa,0,1500,15,32,1500,3000,5.5,7.0,0,0,1,0,0,0,0,1
225,Trema orientalis,Charcoal Tree,Anggrung,0,2000,15,38,800,3000,5.0,7.5,0,0,1,0,0,1,0,0
226,Vitex altissima,Peacock Chaste Tree,Laban,0,1200,20,35,1000,2500,6.0,7.5,0,0,1,0,0,1,0,0
227,Vitex cofassus,New Guinea Teak,Kayu Besi,0,800,22,32,1500,4000,5.5,7.0,0,1,1,0,0,0,0,0
228,Vitex parviflora,Smallflower Chaste Tree,Laban Kecil,0,500,24,35,1200,2500,6.0,7.5,0,0,1,0,0,1,0,0
229,Vitex pubescens,Hairy Chaste Tree,Laban Berbulu,0,1000,20,35,1500,3000,5.5,7.0,0,0,1,0,0,1,0,0
230,Vitex trifolia,Simpleleaf Chaste Tree,Legundi,0,500,22,35,1000,2500,6.0,8.0,0,0,0,0,1,1,0,0
231,Ziziphus mauritiana,Indian Jujube,Bidara,0,1500,10,40,500,2000,5.0,8.5,0,0,1,0,0,1,0,0
